"action","agency_names","comment_url","comments_close_on","effective_on","html_url","pdf_url","publication_date","signing_date","title","topics","abstract"
"","Energy Department; Federal Energy Regulatory Commission","","","","https://www.federalregister.gov/documents/2017/04/06/2017-06837/merchant-hydro-developers-llc-notice-of-preliminary-permit-application-accepted-for-filing-and","https://www.gpo.gov/fdsys/pkg/FR-2017-04-06/pdf/2017-06837.pdf","04/06/2017","","Merchant Hydro Developers, LLC; Notice of Preliminary Permit Application Accepted for Filing and Soliciting Comments, Motions To Intervene, and Competing Applications","",""
"Notice with comment period.","Health and Human Services Department; Centers for Disease Control and Prevention","","06/05/2017","","https://www.federalregister.gov/documents/2017/04/06/2017-06864/proposed-data-collection-submitted-for-public-comment-and-recommendations","https://www.gpo.gov/fdsys/pkg/FR-2017-04-06/pdf/2017-06864.pdf","04/06/2017","","Proposed Data Collection Submitted for Public Comment and Recommendations","","The Centers for Disease Control and Prevention (CDC), as part of its continuing efforts to reduce public burden and maximize the utility of government information, invites the general public and other Federal agencies to take this opportunity to comment on proposed and/or continuing information collections, as required by the Paperwork Reduction Act of 1995. This notice invites comment on Zika virus persistence in body fluids of patients with Zika virus infection in Puerto Rico (ZIPER Study) to fill gaps in the scientific knowledge base for ZIKV regarding the persistence and transmissibility of ZIKV in body fluids. This information assist ongoing public health response activities, as well as advance the scientific understanding of ZIKV illness and transmission."
"","Securities and Exchange Commission","","","","https://www.federalregister.gov/documents/2017/04/06/2017-06784/submission-for-omb-review-comment-request","https://www.gpo.gov/fdsys/pkg/FR-2017-04-06/pdf/2017-06784.pdf","04/06/2017","","Submission for OMB Review; Comment Request","",""
"","Energy Department; Federal Energy Regulatory Commission","","","","https://www.federalregister.gov/documents/2017/04/06/2017-06835/mountain-valley-pipeline-llc-equitrans-lp-notice-of-revised-schedule-for-environmental-review-of-the","https://www.gpo.gov/fdsys/pkg/FR-2017-04-06/pdf/2017-06835.pdf","04/06/2017","","Mountain Valley Pipeline LLC; Equitrans LP; Notice of Revised Schedule for Environmental Review of the Mountain Valley Project and the Equitrans Expansion Project","",""
"A Survey--New--National Institute for Occupational Safety and Health (NIOSH), Centers for Disease Control and Prevention (CDC).","Health and Human Services Department; Centers for Disease Control and Prevention","","","","https://www.federalregister.gov/documents/2017/04/06/2017-06874/agency-forms-undergoing-paperwork-reduction-act-review","https://www.gpo.gov/fdsys/pkg/FR-2017-04-06/pdf/2017-06874.pdf","04/06/2017","","Agency Forms Undergoing Paperwork Reduction Act Review","",""
"Notice of renewal.","Energy Department; National Nuclear Security Administration","","","","https://www.federalregister.gov/documents/2017/04/06/2017-06892/defense-programs-advisory-committee","https://www.gpo.gov/fdsys/pkg/FR-2017-04-06/pdf/2017-06892.pdf","04/06/2017","","Defense Programs Advisory Committee","","Pursuant to the Federal Advisory Committee Act, and following consultation with the Committee Management Secretariat, General Services Administration, notice is hereby given that the Defense Programs Advisory Committee (DPAC) will be renewed for a two-year period beginning on February 10, 2017. The DPAC will provide advice and recommendations to the Deputy Administrator for Defense Programs on the stewardship and maintenance of the Nation's nuclear deterrent. Additionally, the renewal of the Committee has been determined to be essential to the conduct of the Department's business and to be in the public interest in connection with the performance of duties imposed upon the Department of Energy by law and agreement. The Committee will continue to operate in accordance with the provisions of the Federal Advisory Committee Act and the rules and regulations in implementation of that Act."
"","State Department","","","","https://www.federalregister.gov/documents/2017/04/06/2017-06861/notice-of-public-meeting","https://www.gpo.gov/fdsys/pkg/FR-2017-04-06/pdf/2017-06861.pdf","04/06/2017","","Notice of Public Meeting","",""
"","Health and Human Services Department; Centers for Disease Control and Prevention","","","","https://www.federalregister.gov/documents/2017/04/06/2017-06869/agency-forms-undergoing-paperwork-reduction-act-review","https://www.gpo.gov/fdsys/pkg/FR-2017-04-06/pdf/2017-06869.pdf","04/06/2017","","Agency Forms Undergoing Paperwork Reduction Act Review","",""
"","Energy Department; Federal Energy Regulatory Commission","","","","https://www.federalregister.gov/documents/2017/04/06/2017-06840/combined-notice-of-filings-2","https://www.gpo.gov/fdsys/pkg/FR-2017-04-06/pdf/2017-06840.pdf","04/06/2017","","Combined Notice of Filings #2","",""
"Notice of the Executive Summit for Hydropower Research and Development.","Energy Department; Energy Efficiency and Renewable Energy Office","","","","https://www.federalregister.gov/documents/2017/04/06/2017-06859/executive-summit-on-hydropower-research-and-development","https://www.gpo.gov/fdsys/pkg/FR-2017-04-06/pdf/2017-06859.pdf","04/06/2017","","Executive Summit on Hydropower Research and Development","","This notice serves to announce that the Water Power Technologies Office (WPTO) within the U.S. Department of Energy (DOE) intends to hold an Executive Summit on Hydropower Research and Development (``Summit'') in Washington, DC on May 4, 2017. Through this initiative, the WPTO intends to engage industry and researchers to articulate hydropower industry research and development (R&D) needs, discuss capabilities of the national laboratories, and provide guidance to industry on how to engage with the national laboratories to accelerate innovation and achieve bottom-line results."
"Notice of meeting; amendment.","Defense Department; Office of the Secretary","","","","https://www.federalregister.gov/documents/2017/04/06/2017-06855/department-of-defense-military-family-readiness-council-notice-of-federal-advisory-committee-meeting","https://www.gpo.gov/fdsys/pkg/FR-2017-04-06/pdf/2017-06855.pdf","04/06/2017","","Department of Defense Military Family Readiness Council; Notice of Federal Advisory Committee Meeting; Amendment","","On Friday, March 17, 2017 (82 FR 14211-14212), the Department of Defense published a notice to announce a Federal Advisory Committee meeting of the Department of Defense Military Family Readiness Council (MFRC) to be held on April 27, 2017. Subsequent to the publication of this notice, the meeting purpose statement and agenda items changed. All other information in the March 17, 2017 notice remains the same."
"","Health and Human Services Department; National Institutes of Health","","","","https://www.federalregister.gov/documents/2017/04/06/2017-06772/national-institute-on-aging-notice-of-closed-meetings","https://www.gpo.gov/fdsys/pkg/FR-2017-04-06/pdf/2017-06772.pdf","04/06/2017","","National Institute on Aging; Notice of Closed Meetings","",""
"","Health and Human Services Department; National Institutes of Health","","","","https://www.federalregister.gov/documents/2017/04/06/2017-06774/national-institute-of-environmental-health-sciences-notice-of-meeting","https://www.gpo.gov/fdsys/pkg/FR-2017-04-06/pdf/2017-06774.pdf","04/06/2017","","National Institute of Environmental Health Sciences; Notice of Meeting","",""
"Supervisory Highlights; notice.","Consumer Financial Protection Bureau","","","","https://www.federalregister.gov/documents/2017/04/06/2017-06904/supervisory-highlights-consumer-reporting-special-edition","https://www.gpo.gov/fdsys/pkg/FR-2017-04-06/pdf/2017-06904.pdf","04/06/2017","","Supervisory Highlights: Consumer Reporting Special Edition","","The Bureau of Consumer Financial Protection (CFPB) is issuing its fourteenth edition of its Supervisory Highlights. In this issue of Supervisory Highlights, we report examination findings in the area of consumer reporting. These observations include findings from examinations at consumer reporting companies and at companies that furnish information to consumer reporting companies."
"Notice; public hearings and comment period.","Commerce Department; National Oceanic and Atmospheric Administration","","05/18/2017","","https://www.federalregister.gov/documents/2017/04/06/2017-06807/mid-atlantic-fishery-management-council-mafmc-public-meeting","https://www.gpo.gov/fdsys/pkg/FR-2017-04-06/pdf/2017-06807.pdf","04/06/2017","","Mid-Atlantic Fishery Management Council (MAFMC); Public Meeting","","The Mid-Atlantic Fishery Management Council will hold nine public hearings in April and May 2017 to solicit public input on an amendment to the Atlantic Mackerel, Squid, and Butterfish Fishery Management Plan. The amendment focuses on the plan's longfin squid and Illex squid fisheries. The Council is also soliciting written comments on the amendment through May 18, 2017."
"","Commodity Futures Trading Commission","","","","https://www.federalregister.gov/documents/2017/04/06/2017-07023/sunshine-act-meetings","https://www.gpo.gov/fdsys/pkg/FR-2017-04-06/pdf/2017-07023.pdf","04/06/2017","","Sunshine Act Meetings","",""
"Notice; issuance of an incidental harassment authorization.","Commerce Department; National Oceanic and Atmospheric Administration","","","08/01/2017","https://www.federalregister.gov/documents/2017/04/06/2017-06791/takes-of-marine-mammals-incidental-to-specified-activities-taking-marine-mammals-incidental-to-a","https://www.gpo.gov/fdsys/pkg/FR-2017-04-06/pdf/2017-06791.pdf","04/06/2017","","Takes of Marine Mammals Incidental To Specified Activities; Taking Marine Mammals Incidental to a Tidal Marsh Restoration Project","","In accordance with the regulations implementing the Marine Mammal Protection Act (MMPA) as amended, notification is hereby given that NMFS has issued an incidental harassment authorization (IHA) to the California Department of Fish and Wildlife--Central Region (CADFW) to incidentally harass, by Level B harassment only, marine mammals during construction activities associated with the tidal marsh restoration project within the Minhoto-Hester Marsh in Elkhorn Slough (Monterey, CA)."
"Notice of open meeting.","Commerce Department; National Oceanic and Atmospheric Administration","","","","https://www.federalregister.gov/documents/2017/04/06/2017-06858/science-advisory-board-sab-notice-of-open-meeting","https://www.gpo.gov/fdsys/pkg/FR-2017-04-06/pdf/2017-06858.pdf","04/06/2017","","Science Advisory Board (SAB); Notice of Open Meeting","","The Science Advisory Board (SAB) was established by a Decision Memorandum dated September 25, 1997, and is the only Federal Advisory Committee with responsibility to advise the Under Secretary of Commerce for Oceans and Atmosphere on strategies for research, education, and application of science to operations and information services. SAB activities and advice provide necessary input to ensure that National Oceanic and Atmospheric Administration (NOAA) science programs are of the highest quality and provide optimal support to resource management. Time and Date: The meeting will be held Monday, April 24, 2017 from 9:45 a.m. EDT to 5:45 p.m. EDT and on Tuesday, April 25, 2017 from 9:00 a.m. EDT to 12:00 p.m. EDT. These times and the agenda topics described below are subject to change. Please refer to the Web page www.sab.noaa.gov/SABMeetings.aspx for the most up-to-date meeting times and agenda. Place: The meeting will be held at The DoubleTree by Hilton, 8727 Colesville Road, Silver Spring, MD, 20910. Status: The meeting will be open to public participation with a 15- minute public comment period on April 25th from 10:45-11:00 a.m. EDT (check Web site to confirm time). The SAB expects that public statements presented at its meetings will not be repetitive of previously submitted verbal or written statements. In general, each individual or group making a verbal presentation will be limited to a total time of two (2) minutes. Individuals or groups planning to make a verbal presentation should contact the SAB Executive Director by April 17, 2017 to schedule their presentation. Written comments should be received in the SAB Executive Director's Office by April 17, 2017, to provide sufficient time for SAB review. Written comments received by the SAB Executive Director after April 17, 2017, will be distributed to the SAB, but may not be reviewed prior to the meeting date. Seating at the meeting will be available on a first-come, first-served basis. Special Accommodations: These meetings are physically accessible to people with disabilities. Requests for special accommodations may be directed no later than 12:00 p.m. on April 17, 2017, to Dr. Cynthia Decker, SAB Executive Director, SSMC3, Room 11230, 1315 East-West Highway, Silver Spring, MC 20910; Email: Cynthia.Decker@noaa.gov. Matters to be Considered: The meeting will include the following topics: (1) Draft Report on Indigenous and Local Ecological Knowledge and NOAA; (2) Proposal for Creation of a High Performance Computing Standing Working Group; (3) Discussion of the Process to Review SAB Standing Working Groups; (4) Discussion of Short-Term Topics for the SAB; (5) Discussion on SAB Transition Materials; and (6) Updates from the Acting NOAA Administrator and Acting Chief Scientist."
"Notice and request for comments.","Treasury Department; Internal Revenue Service","","06/06/2017","","https://www.federalregister.gov/documents/2017/04/07/2017-06919/proposed-collection-comment-request-for-application-for-determination-for-employee-benefit-plans","https://www.gpo.gov/fdsys/pkg/FR-2017-04-07/pdf/2017-06919.pdf","04/07/2017","","Proposed Collection; Comment Request for Application for Determination for Employee Benefit Plans","","The Department of the Treasury, as part of its continuing effort to reduce paperwork and respondent burden, invites the general public and other Federal agencies to take this opportunity to comment on proposed and/or continuing information collections, as required by the Paperwork Reduction Act of 1995. Currently, the IRS is soliciting comments concerning Form 5300, Application for Determination for Employee Benefit Plans."
"Notice of meeting.","Treasury Department; Internal Revenue Service","","","","https://www.federalregister.gov/documents/2017/04/07/2017-06918/open-meeting-of-the-taxpayer-advocacy-panel-joint-committee","https://www.gpo.gov/fdsys/pkg/FR-2017-04-07/pdf/2017-06918.pdf","04/07/2017","","Open Meeting of the Taxpayer Advocacy Panel Joint Committee","","An open meeting of the Taxpayer Advocacy Panel Joint Committee will be conducted. The Taxpayer Advocacy Panel is soliciting public comments, ideas, and suggestions on improving customer service at the Internal Revenue Service."
"","Energy Department; Federal Energy Regulatory Commission","","","","https://www.federalregister.gov/documents/2017/04/07/2017-06931/combined-notice-of-filings-1","https://www.gpo.gov/fdsys/pkg/FR-2017-04-07/pdf/2017-06931.pdf","04/07/2017","","Combined Notice of Filings #1","",""
"","Executive Office of the President","","","","https://www.federalregister.gov/documents/2017/04/07/2017-07238/continuation-of-the-national-emergency-with-respect-to-somalia","https://www.gpo.gov/fdsys/pkg/FR-2017-04-07/pdf/2017-07238.pdf","04/07/2017","04/06/2017","Continuation of the National Emergency With Respect to Somalia","",""
"Notice and request for comments.","Treasury Department; Internal Revenue Service","","06/06/2017","","https://www.federalregister.gov/documents/2017/04/07/2017-06924/proposed-collection-comment-request-for-the-general-business-credit","https://www.gpo.gov/fdsys/pkg/FR-2017-04-07/pdf/2017-06924.pdf","04/07/2017","","Proposed Collection; Comment Request for the General Business Credit","","The Department of the Treasury, as part of its continuing effort to reduce paperwork and respondent burden, invites the general public and other Federal agencies to take this opportunity to comment on proposed and/or continuing information collections, as required by the Paperwork Reduction Act of 1995. Currently, the IRS is soliciting comments concerning Form 3800, General Business Credit."
"Notice of closed meeting of Art Advisory Panel.","Treasury Department; Internal Revenue Service","","","","https://www.federalregister.gov/documents/2017/04/07/2017-06925/art-advisory-panel-notice-of-closed-meeting","https://www.gpo.gov/fdsys/pkg/FR-2017-04-07/pdf/2017-06925.pdf","04/07/2017","","Art Advisory Panel-Notice of closed meeting","","Closed meeting of the Art Advisory Panel will be held in New York, NY."
"Notice and request for comments.","Treasury Department; Internal Revenue Service","","06/06/2017","","https://www.federalregister.gov/documents/2017/04/07/2017-06922/proposed-collection-comment-request-for-application-for-determination-for-adopters-of-master-or","https://www.gpo.gov/fdsys/pkg/FR-2017-04-07/pdf/2017-06922.pdf","04/07/2017","","Proposed Collection; Comment Request for Application for Determination for Adopters of Master or Prototype or Volume Submitter Plans","","The Department of the Treasury, as part of its continuing effort to reduce paperwork and respondent burden, invites the general public and other Federal agencies to take this opportunity to comment on proposed and/or continuing information collections, as required by the Paperwork Reduction Act of 1995. Currently, the IRS is soliciting comments concerning Form 5307, Application for Determination for Adopters of Master or Prototype or Volume Submitter Plans."
"Notice and request for comments.","Treasury Department; Internal Revenue Service","","06/06/2017","","https://www.federalregister.gov/documents/2017/04/07/2017-06921/proposed-collection-comment-request-for-modified-endowment-contract-correction-program-extension","https://www.gpo.gov/fdsys/pkg/FR-2017-04-07/pdf/2017-06921.pdf","04/07/2017","","Proposed Collection; Comment Request for Modified Endowment Contract Correction Program Extension.","","The Department of the Treasury, as part of its continuing effort to reduce paperwork and respondent burden, invites the general public and other Federal agencies to take this opportunity to comment on proposed and/or continuing information collections, as required by the Paperwork Reduction Act of 1995. Currently, the IRS is soliciting comments concerning Modified Endowment Contract Correction Program Extension."
"Notice and request for comments.","Treasury Department; Internal Revenue Service","","06/06/2017","","https://www.federalregister.gov/documents/2017/04/07/2017-06923/proposed-collection-comment-request-for-definitions-under-subchapter-s-of-the-internal-revenue-code","https://www.gpo.gov/fdsys/pkg/FR-2017-04-07/pdf/2017-06923.pdf","04/07/2017","","Proposed Collection; Comment Request for Definitions Under Subchapter S of the Internal Revenue Code","","The Department of the Treasury, as part of its continuing effort to reduce paperwork and respondent burden, invites the general public and other Federal agencies to take this opportunity to comment on proposed and/or continuing information collections, as required by the Paperwork Reduction Act of 1995. Currently, the IRS is soliciting comments concerning Definitions Under Subchapter S of the Internal Revenue Code."
"Notice and request for comments.","Treasury Department; Internal Revenue Service","","06/06/2017","","https://www.federalregister.gov/documents/2017/04/07/2017-06920/proposed-collection-comment-request-for-irs-e-file-signature-authorization-for-forms-720-2290-and","https://www.gpo.gov/fdsys/pkg/FR-2017-04-07/pdf/2017-06920.pdf","04/07/2017","","Proposed Collection; Comment Request for IRS e-file Signature Authorization for Forms 720, 2290 and 8879.","","The Department of the Treasury, as part of its continuing effort to reduce paperwork and respondent burden, invites the general public and other Federal agencies to take this opportunity to comment on proposed and/or continuing information collections, as required by the Paperwork Reduction Act of 1995. Currently, the IRS is soliciting comments concerning Form 8879-EX, IRS e-file Signature Authorization for Forms 720, 2290, and 8849."
"Notice and request for comments.","Treasury Department; Internal Revenue Service","","06/06/2017","","https://www.federalregister.gov/documents/2017/04/07/2017-06926/proposed-collection-comment-request-for-application-for-recognition-of-exemption-under-section-501c3","https://www.gpo.gov/fdsys/pkg/FR-2017-04-07/pdf/2017-06926.pdf","04/07/2017","","Proposed Collection; Comment Request for Application for Recognition of Exemption Under Section 501(c)(3) of the Internal Revenue Code","","The Department of the Treasury, as part of its continuing effort to reduce paperwork and respondent burden, invites the general public and other Federal agencies to take this opportunity to comment on proposed and/or continuing information collections, as required by the Paperwork Reduction Act of 1995. Currently, the IRS is soliciting comments concerning Form 1023, Application for Recognition of Exemption Under Section 501(c)(3) of the Internal Revenue Code and Form 1023-EZ, Streamlined Application for Recognition of Exemption Under Section 501(c)(3) of the Internal Revenue Code."
"Grant of petition.","Transportation Department; National Highway Traffic Safety Administration","","","","https://www.federalregister.gov/documents/2017/04/07/2017-06956/daimler-trucks-north-america-grant-of-petition-for-decision-of-inconsequential-noncompliance","https://www.gpo.gov/fdsys/pkg/FR-2017-04-07/pdf/2017-06956.pdf","04/07/2017","","Daimler Trucks North America, Grant of Petition for Decision of Inconsequential Noncompliance","","Daimler Trucks North America (DTNA), has determined that certain model year (MY) 2016-2017 Freightliner and Western Star trucks do not fully comply with Federal Motor Vehicle Safety Standard (FMVSS) No. 101, Controls and Displays. DTNA filed a noncompliance report dated September 22, 2016, Defect and Noncompliance Responsibility and Reports. DTNA also petitioned NHTSA on September 22, 2016, for a decision that the subject noncompliance is inconsequential as it relates to motor vehicle safety."
"Grant of petition.","Transportation Department; National Highway Traffic Safety Administration","","","","https://www.federalregister.gov/documents/2017/04/07/2017-06957/cooper-tire-and-rubber-company-grant-of-petition-for-decision-of-inconsequential-noncompliance","https://www.gpo.gov/fdsys/pkg/FR-2017-04-07/pdf/2017-06957.pdf","04/07/2017","","Cooper Tire & Rubber Company, Grant of Petition for Decision of Inconsequential Noncompliance","","Cooper Tire & Rubber Company (Cooper), has determined that certain Mastercraft and Big O tires do not fully comply with Federal Motor Vehicle Safety Standard (FMVSS) No. 139, New Pneumatic Radial Tires for Light Vehicles. Cooper filed a defect report dated May 24, 2016, and amended it on June 1, 2016. Cooper also petitioned NHTSA on June 21, 2016, for a decision that the subject noncompliance is inconsequential as it relates to motor vehicle safety."
"Grant of petition.","Transportation Department; National Highway Traffic Safety Administration","","","","https://www.federalregister.gov/documents/2017/04/07/2017-06952/bridgestone-americas-tire-operations-llc-grant-of-petition-for-decision-of-inconsequential","https://www.gpo.gov/fdsys/pkg/FR-2017-04-07/pdf/2017-06952.pdf","04/07/2017","","Bridgestone Americas Tire Operations, LLC, Grant of Petition for Decision of Inconsequential Noncompliance","","Bridgestone Americas Tire Operations, LLC (BATO), has determined that certain Bridgestone VSB heavy-duty radial truck tires do not fully comply with Federal Motor Vehicle Safety Standard (FMVSS) No. 119, New Pneumatic Tires for Motor Vehicles with a GVWR of more than 4,536 Kilograms (10,000 pounds) and Motorcycles. BATO filed a noncompliance report dated April 7, 2016. BATO then petitioned NHTSA on May 5, 2016, for a decision that the subject noncompliance is inconsequential as it relates to motor vehicle safety."
"","State Department","","","","https://www.federalregister.gov/documents/2017/04/07/2017-06978/notice-of-determinations-culturally-significant-objects-imported-for-exhibition-determinations","https://www.gpo.gov/fdsys/pkg/FR-2017-04-07/pdf/2017-06978.pdf","04/07/2017","","Notice of Determinations; Culturally Significant Objects Imported for Exhibition Determinations: “Berlin and Los Angeles: Space for Music” Exhibition","","Notice is hereby given of the following determinations: Pursuant to the authority vested in me by the Act of October 19, 1965 (79 Stat. 985;), E.O. 12047 of March 27, 1978, the Foreign Affairs Reform and Restructuring Act of 1998 (112 Stat. 2681, et seq.), Delegation of Authority No. 234 of October 1, 1999, Delegation of Authority No. 236-3 of August 28, 2000 (and, as appropriate, Delegation of Authority No. 257-1 of December 11, 2015), I hereby determine that objects to be included in the exhibition ``Berlin and Los Angeles: Space for Music,'' imported from abroad for temporary exhibition within the United States, are of cultural significance. The objects are imported pursuant to a loan agreement with the foreign owner or custodian. I also determine that the exhibition or display of the exhibit objects at the Getty Research Institute at the Getty Center, Los Angeles, California, from on or about April 25, 2017, until on or about July 30, 2017, and at possible additional exhibitions or venues yet to be determined, is in the national interest. I have ordered that Public Notice of these Determinations be published in the Federal Register."
"","Securities and Exchange Commission","","","","https://www.federalregister.gov/documents/2017/04/07/2017-06911/self-regulatory-organizations-chicago-stock-exchange-inc-notice-of-designation-of-a-longer-period","https://www.gpo.gov/fdsys/pkg/FR-2017-04-07/pdf/2017-06911.pdf","04/07/2017","04/03/2017","Self-Regulatory Organizations; Chicago Stock Exchange, Inc.; Notice of Designation of a Longer Period for Commission Action on Proposed Rule Change To Adopt the CHX Liquidity Enhancing Access Delay","",""
"","Securities and Exchange Commission","","","","https://www.federalregister.gov/documents/2017/04/07/2017-06976/self-regulatory-organizations-fixed-income-clearing-corporation-notice-of-filing-of-advance-notice","https://www.gpo.gov/fdsys/pkg/FR-2017-04-07/pdf/2017-06976.pdf","04/07/2017","04/03/2017","Self-Regulatory Organizations; Fixed Income Clearing Corporation; Notice of Filing of Advance Notice To Establish the Centrally Cleared Institutional Triparty Service and Make Other Changes","",""
"Notice.","Securities and Exchange Commission","","","","https://www.federalregister.gov/documents/2017/04/07/2017-06908/olden-lane-securities-llc-and-olden-lane-trust","https://www.gpo.gov/fdsys/pkg/FR-2017-04-07/pdf/2017-06908.pdf","04/07/2017","04/03/2017","Olden Lane Securities LLC and Olden Lane Trust","",""
"","Securities and Exchange Commission","","","","https://www.federalregister.gov/documents/2017/04/07/2017-06910/self-regulatory-organizations-nyse-arca-inc-notice-of-filing-and-immediate-effectiveness-of-proposed","https://www.gpo.gov/fdsys/pkg/FR-2017-04-07/pdf/2017-06910.pdf","04/07/2017","04/03/2017","Self-Regulatory Organizations; NYSE Arca, Inc.; Notice of Filing and Immediate Effectiveness of Proposed Rule Change To Amend the Exchange's Schedule of Fees and Charges","",""
"Notice.","Postal Service","","","04/07/2017","https://www.federalregister.gov/documents/2017/04/07/2017-06915/international-product-change-global-expedited-package-services-non-published-rates","https://www.gpo.gov/fdsys/pkg/FR-2017-04-07/pdf/2017-06915.pdf","04/07/2017","","International Product Change-Global Expedited Package Services-Non-Published Rates","","The Postal Service gives notice of filing a request with the Postal Regulatory Commission to add Global Expedited Package Services-- Non-Published Rates 12 (GEPS-NPR 12) to the Competitive Products List."
"Exemption and combined license amendment; issuance.","Nuclear Regulatory Commission","","","","https://www.federalregister.gov/documents/2017/04/07/2017-06991/south-carolina-electric-and-gas-company-south-carolina-public-service-authority-virgil-c-summer","https://www.gpo.gov/fdsys/pkg/FR-2017-04-07/pdf/2017-06991.pdf","04/07/2017","","South Carolina Electric & Gas Company; South Carolina Public Service Authority; Virgil C. Summer Nuclear Station, Units 2 and 3; IDS Fuse Isolation Panel Additions","","The U.S. Nuclear Regulatory Commission (NRC) is granting an exemption to allow a departure from the certification information of Tier 1 of the generic design control document (DCD) and is issuing License Amendment No. 63 to Combined Licenses (COL), NPF-93 and NPF-94. The COLs were issued to South Carolina Electric & Gas Company on behalf of itself and the South Carolina Public Service Authority (both hereafter called the licensee); for construction and operation of the Virgil C. Summer Nuclear Station (VCSNS) Units 2 and 3, located in Fairfield County, South Carolina. The granting of the exemption allows the changes to Tier 1 information asked for in the amendment. Because the acceptability of the exemption was determined in part by the acceptability of the amendment, the exemption and amendment are being issued concurrently."
"","National Science Foundation","","","","https://www.federalregister.gov/documents/2017/04/07/2017-07100/sunshine-act-meeting-national-science-board","https://www.gpo.gov/fdsys/pkg/FR-2017-04-07/pdf/2017-07100.pdf","04/07/2017","","Sunshine Act Meeting; National Science Board","",""
"","National Science Foundation","","","","https://www.federalregister.gov/documents/2017/04/07/2017-07098/sunshine-act-meeting-national-science-board","https://www.gpo.gov/fdsys/pkg/FR-2017-04-07/pdf/2017-07098.pdf","04/07/2017","","Sunshine Act Meeting; National Science Board","",""
"","National Science Foundation","","","","https://www.federalregister.gov/documents/2017/04/07/2017-07004/proposal-review-panel-for-physics-notice-of-meeting","https://www.gpo.gov/fdsys/pkg/FR-2017-04-07/pdf/2017-07004.pdf","04/07/2017","","Proposal Review Panel for Physics: Notice of Meeting","",""
"Notice.","Millennium Challenge Corporation","","","","https://www.federalregister.gov/documents/2017/04/07/2017-06966/millennium-challenge-corporation-advisory-council-notice-of-open-meeting","https://www.gpo.gov/fdsys/pkg/FR-2017-04-07/pdf/2017-06966.pdf","04/07/2017","","Millennium Challenge Corporation Advisory Council Notice of Open Meeting","","In accordance with the requirements of the Federal Advisory Committee Act, 5 U.S.C.--App., the Millennium Challenge Corporation (MCC) Advisory Council was established as a discretionary advisory committee on June 14, 2016 to serve MCC in a solely advisory capacity and provide insight regarding innovations in infrastructure, technology and sustainability; perceived risks and opportunities in MCC partner countries; new financing mechanisms for developing country contexts; and shared value approaches. The Advisory Council provides a platform for systematic engagement with the private sector and other external stakeholders and contributes to MCC's mission--to reduce poverty through sustainable, economic growth. Time and Place: Thursday, April 20, 2017 from 8:30 a.m.-1:45 p.m. which includes a working lunch. The meeting will be held at the Millennium Challenge Corporation 1099 14th St. NW., Suite 700, Washington, DC 20005. Agenda: During the spring 2017 meeting of the MCC Advisory Council, members will discuss ways MCC can continue to bolster its relationship with the private sector and provide advice on MCC's Compact program in C[ocirc]te d'Ivoire. Public Participation: The meeting will be open to the public. Members of the public may file written statement(s) before or after the meeting. If you plan to attend, please submit your name and affiliation no later than Wednesday, April 12 to MCCAdvisoryCouncil@mcc.gov to be placed on an attendee list."
"Notice.","International Trade Commission","","","03/31/2017","https://www.federalregister.gov/documents/2017/04/07/2017-06928/carton-closing-staples-from-china-institution-of-antidumping-duty-investigation-and-scheduling-of","https://www.gpo.gov/fdsys/pkg/FR-2017-04-07/pdf/2017-06928.pdf","04/07/2017","","Carton Closing Staples From China; Institution of Antidumping Duty Investigation and Scheduling of Preliminary Phase Investigation","","The Commission hereby gives notice of the institution of an investigation and commencement of preliminary phase antidumping duty investigation No. 731-TA-1359 (Preliminary) pursuant to the Tariff Act of 1930 (``the Act'') to determine whether there is a reasonable indication that an industry in the United States is materially injured or threatened with material injury, or the establishment of an industry in the United States is materially retarded, by reason of imports of carton closing staples from China, provided for in subheadings 8305.20.00 and 7317.00.65 of the Harmonized Tariff Schedule of the United States, that are alleged to be sold in the United States at less than fair value. Unless the Department of Commerce extends the time for initiation, the Commission must reach a preliminary determination in antidumping duty investigations in 45 days, or in this case by May 15, 2017. The Commission's views must be transmitted to Commerce within five business days thereafter, or by May 22, 2017."
"Notice.","Housing and Urban Development Department","","06/06/2017","","https://www.federalregister.gov/documents/2017/04/07/2017-07010/60-day-notice-of-proposed-information-collection-delta-community-capital-initiative","https://www.gpo.gov/fdsys/pkg/FR-2017-04-07/pdf/2017-07010.pdf","04/07/2017","","60-Day Notice of Proposed Information Collection: Delta Community Capital Initiative","","HUD is seeking approval from the Office of Management and Budget (OMB) for the information collection described below. In accordance with the Paperwork Reduction Act, HUD is requesting comment from all interested parties on the proposed collection of information. The purpose of this notice is to allow for 60 days of public comment."
"Notice.","Housing and Urban Development Department","","06/06/2017","","https://www.federalregister.gov/documents/2017/04/07/2017-07008/60-day-notice-of-proposed-information-collection-appalachia-economic-development-initiative","https://www.gpo.gov/fdsys/pkg/FR-2017-04-07/pdf/2017-07008.pdf","04/07/2017","","60-Day Notice of Proposed Information Collection: Appalachia Economic Development Initiative","","HUD is seeking approval from the Office of Management and Budget (OMB) for the information collection described below. In accordance with the Paperwork Reduction Act, HUD is requesting comment from all interested parties on the proposed collection of information. The purpose of this notice is to allow for 60 days of public comment."
